,Artist,Area
427,Theo van Doesburg (Christian Emil Marie Küpper),1998.75
428,Ricardo Bofill,2346.32
429,Cesar Pelli,10322.60064004
430,Louis I. Kahn,2805.2200000000003
431,Louis I. Kahn,1201.7
432,James Stirling,2749.89
433,Ricardo Bofill,1984.7500000000002
434,Cesar Pelli,10322.60064004
435,Louis I. Kahn,909.48
436,Louis I. Kahn,3565.0
437,James Stirling,2692.74693226
438,Ricardo Bofill,2476.29
440,Louis I. Kahn,920.6999999999999
441,Louis I. Kahn,4163.27
442,James Stirling,6398.31
443,Iakov Chernikhov,686.25
444,"Wolf D. Prix, Helmut Swiczinsky",1248.62
445,Robert A. M. Stern,2447.76
446,Louis I. Kahn,776.14
447,Louis I. Kahn,5965.8
448,James Stirling,4088.0
449,Leon Krier,8130.540000000001
450,"Venturi and Rauch, John Rauch, Robert Venturi",2088.4900000000002
451,"James Wines, Alison Sky, Michelle Stone, Emilio Sousa",2412.90830601
452,Louis I. Kahn,1316.13376601
453,Louis I. Kahn,1820.8500000000001
454,James Stirling,2999.7
455,Leon Krier,6137.56
456,Harry C. Wolf,5033.879999999999
457,Louis I. Kahn,1665.3
458,Louis I. Kahn,3889.07
459,James Stirling,5199.95
460,Leon Krier,7250.320000000001
462,Louis I. Kahn,1158.24
463,Louis I. Kahn,2842.5400000000004
464,Leon Krier,7376.16
465,Louis I. Kahn,483.87190499999997
466,Louis I. Kahn,2934.7999999999997
467,Leon Krier,2554.63
468,Louis I. Kahn,2675.66
469,Louis I. Kahn,2633.84
470,Leon Krier,1248.62
471,Louis I. Kahn,1508.1000000000001
472,Louis I. Kahn,1914.8300000000002
473,Leon Krier,1198.94
474,Louis I. Kahn,1549.3999999999999
475,Louis I. Kahn,1032.79
476,Leon Krier,2073.2599999999998
477,Louis I. Kahn,1632.96
478,Louis I. Kahn,1860.5
479,Leon Krier,2025.94
480,Louis I. Kahn,14472.0
481,Louis I. Kahn,2202.7400000000002
482,Le Corbusier (Charles-Édouard Jeanneret),445.5
483,Louis I. Kahn,2232.0
484,Louis I. Kahn,3683.42
485,Paul Rudolph,7741.92
486,Louis I. Kahn,2270.9728520099998
487,Louis I. Kahn,1741.17
488,Paul Rudolph,6385.56
489,Louis I. Kahn,869.44
490,Louis I. Kahn,2728.2900000000004
491,Paul Rudolph,14273.01418956
492,Louis I. Kahn,3337.4
493,Louis I. Kahn,1509.75
494,Paul Rudolph,10059.800000000001
495,Louis I. Kahn,825.3599999999999
496,Louis I. Kahn,1238.3
497,Louis I. Kahn,617.12
498,Louis I. Kahn,1025.9199999999998
499,Louis I. Kahn,900.79
500,Louis I. Kahn,1762.8999999999999
502,Louis I. Kahn,1335.8999999999999
503,Louis I. Kahn,254.54000000000002
504,Louis I. Kahn,1771.0
505,Louis I. Kahn,818.5489725000001
506,Louis I. Kahn,1548.39212801
507,Louis I. Kahn,409.2
508,Louis I. Kahn,1238.3
509,Louis I. Kahn,800.2900000000001
510,Louis I. Kahn,1358.28
511,Louis I. Kahn,819.5099999999999
512,Louis I. Kahn,2321.56
513,Louis I. Kahn,1683.6000000000001
514,Louis I. Kahn,2232.4500000000003
515,Louis I. Kahn,462.84000000000003
516,Louis I. Kahn,1072.45
517,Louis I. Kahn,542.9
518,Louis I. Kahn,3016.2000000000003
519,Louis I. Kahn,497.51
520,Louis I. Kahn,1027.8500000000001
521,Louis I. Kahn,1936.75
522,Louis I. Kahn,1238.3
523,Louis I. Kahn,16778.256258060002
524,Louis I. Kahn,1177.38
525,Louis I. Kahn,3123.4
526,Louis I. Kahn,1288.74
527,"Oscar Nitzchke, Hugo Herdeg",3645.16625551
528,Oscar Nitzchke,3703.2307190099996
529,Oscar Nitzchke,3703.2307190099996
530,Oscar Nitzchke,3703.2307190099996
531,Oscar Nitzchke,3703.2307190099996
532,Oscar Nitzchke,3703.2307190099996
